#{tijd} #{positie1} #{snelheid1} #{...} 
0.036	-0.00971359	0.0101725	0.000165579	-0.259713	0.080409	0.0064435	-0.838746	-0.460066	0.000199753	286.47	-516.501	0.0124551
0.037	-0.00997371	0.0102525	0.000172023	-0.260445	0.0796168	0.00644354	-0.416951	-0.856231	0.000205486	530.358	-252.636	-0.000893703
0.038	-0.0102343	0.0103316	0.000178466	-0.260587	0.0785534	0.00644357	0.154388	-0.933717	0.000198915	577.528	101.569	-0.0114344
0.039	-0.0104947	0.0104097	0.00018491	-0.260091	0.0775996	0.00644358	0.664811	-0.665116	0.000184863	412.25	419.23	-0.0154218
0.04	-0.0107543	0.010487	0.000191354	-0.259125	0.0771025	0.00644357	0.924557	-0.147226	0.000170866	90.6362	584.82	-0.0113005
0.041	-0.0110129	0.0105641	0.000197797	-0.258034	0.0772651	0.00644354	0.83096	0.428801	0.000164648	-272.85	530.671	-0.000308127
0.042	-0.0112705	0.0106417	0.000204241	-0.257237	0.0780553	0.00644349	0.412136	0.84152	0.00017128	-538.232	267.476	0.013589
0.043	-0.0115276	0.0107203	0.000210684	-0.25707	0.0791797	0.00644346	-0.173124	0.924554	0.000190949	-593.705	-107.056	0.0248819
0.044	-0.0117849	0.0108	0.000217128	-0.257619	0.0801822	0.00644345	-0.692569	0.640832	0.000218514	-410.989	-440.944	0.0288361
0.045	-0.012043	0.0108805	0.000223571	-0.258658	0.0806492	0.00644346	-0.937968	0.104063	0.000245505	-64.8176	-596.504	0.023805
0.046	-0.0123022	0.0109611	0.000230015	-0.259761	0.0804015	0.0064435	-0.814295	-0.469784	0.000263752	302.474	-513.995	0.0119678
0.047	-0.0125624	0.0110411	0.000236458	-0.260494	0.0795536	0.00644354	-0.375124	-0.854481	0.000268726	546.549	-231.573	-0.00187299
0.048	-0.012823	0.0111201	0.000242902	-0.260583	0.0784409	0.00644357	0.20502	-0.901893	0.000261134	576.352	139.029	-0.0123868
0.049	-0.0130833	0.011198	0.000249345	-0.259996	0.0774868	0.00644358	0.699624	-0.59401	0.000246467	380.871	456.815	-0.0155822
0.05	-0.0133428	0.0112753	0.000255789	-0.258946	0.0770631	0.00644357	0.912856	-0.0488305	0.000232979	30.9976	597.944	-0.0100747
0.051	-0.0136012	0.0113524	0.000262232	-0.257834	0.0773599	0.00644353	0.753729	0.518881	0.000228704	-339.407	499.069	0.002274
0.052	-0.0138586	0.0114302	0.000268676	-0.257121	0.0782874	0.00644349	0.279415	0.876035	0.000238256	-576.961	190.147	0.0166388
0.053	-0.0141157	0.0115091	0.000275119	-0.25713	0.0794712	0.00644345	-0.316921	0.868758	0.000260588	-573.977	-204.144	0.0269112
0.054	-0.0143731	0.0115891	0.000281563	-0.257873	0.0803991	0.00644345	-0.783306	0.49664	0.000289076	-326.513	-513.208	0.0285089
0.055	-0.0146315	0.0116697	0.000288006	-0.259027	0.0806678	0.00644347	-0.921748	-0.0817466	0.000314344	57.8899	-602.688	0.0207363
0.056	-0.0148911	0.0117501	0.00029445	-0.260095	0.0801731	0.00644351	-0.676802	-0.620418	0.000328474	413.547	-437.924	0.00704621
0.057	-0.0151516	0.0118298	0.000300893	-0.260634	0.0791349	0.00644356	-0.155085	-0.894342	0.000328367	593.381	-92.12	-0.00676705
0.058	-0.0154121	0.0119084	0.000307337	-0.260431	0.0779826	0.00644358	0.424261	-0.790752	0.000316831	525.464	291.666	-0.015054
0.059	-0.0156722	0.0119859	0.00031378	-0.259559	0.0771884	0.00644358	0.818449	-0.351598	0.000301362	235.263	556.201	-0.0143574
0.06	-0.0159312	0.012063	0.000320224	-0.258367	0.0770975	0.00644355	0.856916	0.240777	0.000291237	-161.797	586.488	-0.00469755
