#{tijd} #{positie1} #{snelheid1} #{...} 
0.11	0.000967035	-0.00161972	3.34892e-05	-0.0140253	0.173868	-0.000343362	0.0577005	0.980818	-3.1336e-05	-585.596	31.7109	0.0121195	0.0564539	0.983001	0.000279956	-603.044	21.4464	-1.0711	-0.613278	-0.382965	0.030232	352.451	-579.035	-28.2996	-1.30464	1.02753	0.0536142	-272.971	-327.874	-0.184393	-5.30492	-1.26551	0.123997	55.8929	-234.501	-0.275908	7.1246	5.83015	-0.385228	-128.503	144.474	2.60543
0.12	0.00035868	-5.53216e-05	3.91139e-05	-0.100406	0.131139	0.00139794	0.553042	0.819428	-1.6826e-05	-488.079	321.039	0.00742922	0.55136	0.821417	0.000207929	-502.379	307.905	-2.094	0.645469	0.328481	-0.0326661	-310.625	601.842	26.1908	0.891545	-1.07179	-0.0442716	378.324	340.852	-2.13485	-4.2288	-3.40304	0.108804	155.858	-185.505	-2.71617	5.69633	7.13975	-0.351116	-156.236	116.391	4.19877
0.13	-0.000997024	0.000932783	6.12588e-05	-0.163188	0.0583259	0.00296171	0.896698	0.432837	3.01741e-05	-260.008	518.282	0.00167693	0.894584	0.43438	8.289e-05	-270.432	501.983	-2.64289	-0.653502	-0.308896	0.0334483	285.542	-615.521	-24.9458	-1.15592	1.18659	0.0532229	-318.781	-286.92	1.79896	-2.28725	-4.84118	0.0713404	226.04	-96.4018	-4.6568	4.02075	8.13887	-0.301751	-177.718	82.5931	5.64257
0.14	-0.00277053	0.00103484	9.44156e-05	-0.18209	-0.0438489	0.00347143	0.999785	-0.0708535	9.77013e-05	31.3184	573.775	-0.00715476	0.997282	-0.0699482	-6.13005e-05	25.6253	555.474	-2.34479	0.675383	0.255662	-0.0355289	-241.419	632.205	22.6171	0.68341	-1.22585	-0.0424359	427.022	269.723	-4.81378	0.137978	-5.24429	0.0187528	250.179	18.4558	-5.67439	2.16727	8.7775	-0.239028	-191.625	44.574	6.85793
0.15	-0.00447137	0.000117294	0.000128001	-0.150888	-0.141452	0.00308082	0.841188	-0.55735	0.00016701	307.603	479.913	-0.0148646	0.838489	-0.5571	-0.000154993	306.34	461.18	-1.33103	-0.686929	-0.234264	0.0362774	215.078	-644.489	-21.2768	-0.986797	1.32005	0.051865	-359.03	-239.923	3.77303	2.52509	-4.46043	-0.0379176	217.328	136.539	-5.43045	0.21661	9.02246	-0.165585	-197.043	4.19373	7.77607
0.16	-0.00558686	-0.00171133	0.000150945	-0.0666248	-0.220074	0.0012825	0.467086	-0.902712	0.000218104	501.014	266.156	-0.0216201	0.464427	-0.903207	-0.000161966	504.476	247.815	0.111083	0.697132	0.175838	-0.0379469	-169.21	654.601	18.7699	0.453727	-1.34637	-0.0392879	461.611	192.293	-7.27749	4.29456	-2.60128	-0.0852412	128.114	228.281	-3.81605	-1.74395	8.86044	-0.084671	-193.591	-36.4661	8.34556
0.17	-0.00566224	-0.00405784	0.000151407	0.050434	-0.239584	-0.00125513	-0.0252209	-1.02168	0.000229964	566.994	-13.0231	-0.0224901	-0.027624	-1.02295	-7.16956e-05	575.324	-29.6867	1.57696	-0.709479	-0.160131	0.0386075	141.938	-665.245	-17.3386	-0.796761	1.42465	0.0494843	-392.838	-187.194	5.70736	4.95942	-0.0807361	-0.110603	1.1344	264.744	-1.12701	-3.62625	8.29929	6.50783e-05	-181.471	-75.2865	8.53769
0.18	-0.00453572	-0.00631628	0.000124282	0.168769	-0.200319	-0.00417023	-0.511256	-0.884447	0.000196028	489.931	-290.289	-0.0139709	-0.513252	-0.886276	7.49112e-05	502.232	-304.532	2.49616	0.713975	0.0920611	-0.0399737	-94.9887	668.998	14.6985	0.214371	-1.42865	-0.0350535	481.544	111.959	-9.44851	4.30877	2.45813	-0.106613	-128.268	231.455	1.90622	-5.34699	7.36741	0.0848107	-161.452	-110.306	8.34899
0.19	-0.00237834	-0.00786294	7.0795e-05	0.250936	-0.0990476	-0.00631718	-0.867054	-0.52306	0.000113343	285.587	-497.48	-0.000204158	-0.86848	-0.525276	0.000209703	301.365	-508.629	2.66865	-0.718703	-0.0835288	0.0403555	66.7888	-677.38	-13.1698	-0.58645	1.5013	0.0460138	-419.769	-129.084	7.58031	2.51543	4.34683	-0.0743568	-221.797	138.413	4.38532	-6.83302	6.11135	0.165843	-134.766	-139.885	7.80028
0.2	0.000305643	-0.00827428	1.54673e-06	0.275065	0.0218659	-0.00733492	-0.997231	-0.0271212	2.05367e-06	1.17465	-578.597	0.0161422	-0.997972	-0.0296055	0.000280224	19.5121	-585.208	1.91236	0.725754	0.00962387	-0.0416046	-19.8357	675.227	10.4499	-0.0275341	-1.46698	-0.029891	487.091	31.8727	-11.2657	0.0739193	5.12591	-0.0229872	-255.772	15.3482	5.65701	-8.02527	4.5919	0.239752	-102.971	-162.822	6.9327
