#{tijd} #{positie1} #{snelheid1} #{...} 
0.018	-0.00508201	0.00877462	4.95957e-05	-0.261227	0.0785999	0.00644356	0.858064	0.165526	-2.51321e-05	-91.7737	615.325	-0.0308667	-0.910341	-0.67193	-2.78503e-05	269.155	-466.793	0.0220909	0.17828	-1.01123	6.69571e-05	550.473	94.1146	0.00641939
0.019	-0.00534271	0.00885313	5.60392e-05	-0.260189	0.0785317	0.00644342	0.573816	0.695064	-3.56962e-05	-450.343	406.827	0.0104409	-0.554096	-1.04957	1.95303e-06	426.861	-280.299	0.0363336	0.674521	-0.773223	7.08486e-05	418.149	370.064	0.00149268
0.02	-0.0056025	0.0089319	6.24825e-05	-0.259461	0.0790665	0.00644331	0.0315921	0.922299	-5.63876e-06	-594.024	35.6975	0.0475801	-0.0893834	-1.22265	4.23955e-05	487.294	-64.4653	0.0433875	0.971525	-0.30693	7.04149e-05	160.431	540.22	-0.00203439
0.021	-0.00586182	0.00901135	6.89258e-05	-0.259271	0.0798547	0.00644325	-0.527129	0.764878	5.31686e-05	-485.492	-337.985	0.0663454	0.391087	-1.1799	8.64414e-05	460.24	147.035	0.0436362	0.974878	0.252884	6.76205e-05	-156.025	550.999	-0.00309139
0.022	-0.00612123	0.00909157	7.53691e-05	-0.259633	0.080533	0.00644328	-0.868084	0.293593	0.000118422	-171.703	-572.544	0.0600494	0.805208	-0.937841	0.000127566	356.206	330.696	0.0376312	0.670614	0.734235	6.52681e-05	-438.477	384.623	-0.00112708
0.023	-0.00638122	0.00917227	8.18124e-05	-0.260372	0.080768	0.00644338	-0.837646	-0.296948	0.000164887	234.154	-565.174	0.0296607	1.08076	-0.535092	0.000159764	184.749	464.648	0.0258691	0.143706	0.973954	6.62895e-05	-586.666	79.3855	0.00350437
0.024	-0.00664197	0.00925288	8.82558e-05	-0.261087	0.0803605	0.00644353	-0.426585	-0.742074	0.000172938	559.12	-286.716	-0.0141827	1.15625	-0.0340327	0.000177597	-41.049	522.45	0.00906794	-0.433548	0.879327	7.2695e-05	-534.19	-263.903	0.00932185
0.025	-0.0069032	0.00933281	9.46994e-05	-0.261252	0.0794777	0.00644366	0.188795	-0.810526	0.000138991	619.893	158.848	-0.0505503	0.989232	0.473152	0.000176766	-293.758	471.381	-0.0110153	-0.859263	0.477308	8.46001e-05	-293.124	-515.87	0.0141544
0.026	-0.00716419	0.00941188	0.000101143	-0.260624	0.0787334	0.00644371	0.697386	-0.447689	8.20274e-05	353.062	534.549	-0.057813	0.578853	0.862287	0.000155834	-515.055	284.037	-0.030179	-0.986525	-0.0891038	0.00010005	43.3518	-584.1	0.0162163
0.027	-0.0074243	0.00949054	0.000107587	-0.259598	0.0787341	0.00644365	0.830301	0.158112	3.53113e-05	-94.5165	623.911	-0.0312791	0.00144386	0.999538	0.000119217	-611.745	-23.0842	-0.0410423	-0.782002	-0.623289	0.00011589	351.606	-456.177	0.0149591
0.028	-0.0076835	0.00956962	0.00011403	-0.258889	0.0795021	0.00644351	0.53168	0.688889	2.57165e-05	-473.39	396.724	0.0128602	-0.575613	0.809638	7.90093e-05	-509.676	-347.203	-0.0367419	-0.325988	-0.953567	0.000129059	534.954	-189.259	0.0110586
0.029	-0.00794234	0.00964965	0.000120474	-0.258904	0.0805453	0.00644338	-0.031739	0.888706	5.92964e-05	-607.82	-8.86795	0.0517857	-0.960857	0.348163	5.0615e-05	-244.106	-547.551	-0.0184447	0.229752	-0.984528	0.00013756	548.177	127.296	0.00586525
0.03	-0.00820154	0.00973063	0.000126917	-0.259591	0.0813387	0.0064433	-0.584091	0.674772	0.000121681	-454.747	-401.235	0.0686113	-1.05041	-0.222522	4.38517e-05	60.8272	-565.935	0.00490442	0.713236	-0.712958	0.000140862	394.53	401.945	0.000900713
0.031	-0.00846165	0.00981212	0.00013336	-0.260659	0.0815447	0.00644331	-0.864078	0.149403	0.00018632	-81.6167	-608.925	0.0560255	-0.860438	-0.735355	5.93182e-05	304.144	-442.523	0.0250621	0.976036	-0.221335	0.000139915	116.62	556.667	-0.00242768
0.032	-0.00872285	0.00989346	0.000139804	-0.261693	0.0810066	0.00644341	-0.724211	-0.440081	0.000224658	353.643	-519.98	0.0176336	-0.475768	-1.08223	9.16574e-05	448.226	-244.045	0.0383849	0.929568	0.341389	0.000136934	-209.254	538.732	-0.00303673
0.033	-0.00898485	0.00997391	0.000146247	-0.262175	0.079837	0.00644354	-0.211707	-0.788112	0.000218294	627.852	-141.323	-0.0296484	0.00243822	-1.21545	0.000133583	492.633	-21.8713	0.0442715	0.575546	0.793315	0.000134929	-481.047	338.37	-0.000481494
0.034	-0.00924687	0.0100531	0.000152691	-0.261717	0.0785665	0.00644362	0.409412	-0.684613	0.000171615	555.079	340.24	-0.0587673	0.479529	-1.12916	0.00017785	447.928	190.6	0.0431679	0.0211802	0.97323	0.000136862	-595.885	9.12399	0.00463922
0.035	-0.009508	0.0101313	0.000159134	-0.260479	0.0779446	0.00644359	0.781488	-0.174655	0.000114164	154.903	629.061	-0.049999	0.872009	-0.845599	0.000217763	325.14	368.999	0.0356556	-0.542579	0.806656	0.000144493	-497.618	-332.636	0.0105588
0.036	-0.0097678	0.0102093	0.000165578	-0.259172	0.0783365	0.00644348	0.689837	0.443064	8.31171e-05	-324.734	548.711	-0.00895681	1.10714	-0.410514	0.000247197	135.241	489.475	0.0223193	-0.911238	0.349429	0.000157469	-218.642	-553.43	0.0149819
0.037	-0.0100266	0.0102882	0.000172021	-0.258493	0.079462	0.00644336	0.201087	0.815853	9.88217e-05	-605.365	166.544	0.0390488	1.12536	0.104201	0.000260756	-104.872	523.012	0.00414372	-0.955297	-0.230564	0.000173375	130.381	-572.399	0.016265
0.038	-0.0102851	0.0103683	0.000178465	-0.258715	0.0807205	0.00644331	-0.403316	0.74617	0.00015471	-549.524	-297.464	0.0681565	0.892051	0.594836	0.000254622	-359.551	436.12	-0.0164881	-0.67035	-0.727899	0.000188829	420.855	-395.835	0.0141548
0.039	-0.0105443	0.0104495	0.000184908	-0.259711	0.0815271	0.00644336	-0.790484	0.275234	0.000223339	-188.746	-602.14	0.0634219	0.424711	0.928413	0.000228675	-558.361	209.033	-0.0343544	-0.164626	-0.979899	0.000200843	562.145	-96.7144	0.00960517
0.04	-0.0108046	0.0105311	0.000191352	-0.261047	0.0814397	0.00644349	-0.734095	-0.340682	0.000269711	299.736	-570.289	0.0252008	-0.172227	0.977465	0.000189572	-603.945	-119.028	-0.0415017	0.391271	-0.912952	0.000207727	520.403	225.832	0.00416004
0.041	-0.0110662	0.010612	0.000197795	-0.261976	0.0803463	0.00644364	-0.243499	-0.737379	0.000268442	633.599	-179.078	-0.0273688	-0.712	0.698285	0.000151257	-445.261	-422.941	-0.0326045	0.819251	-0.55273	0.000209409	312.837	475.712	-0.000545147
0.042	-0.0113282	0.0106916	0.000204239	-0.261738	0.0788235	0.00644372	0.390443	-0.646319	0.00022171	564.827	352.973	-0.0603958	-1.01584	0.18511	0.000128578	-151.857	-573.019	-0.0116008	0.979994	-0.0124401	0.000207375	-1.44421	576.113	-0.00307704
0.043	-0.0115893	0.0107699	0.000210682	-0.260327	0.0780073	0.00644364	0.746539	-0.111818	0.000163677	109.232	655.014	-0.0484962	-1.0142	-0.385392	0.000128862	146.561	-542.196	0.0117897	0.811427	0.533776	0.000204327	-328.425	484.925	-0.00247882
0.044	-0.0118488	0.0108481	0.000217126	-0.25874	0.0786152	0.00644346	0.582172	0.503769	0.000138134	-415.539	508.705	0.00058858	-0.750173	-0.85662	0.000150509	364.823	-385.927	0.0303758	0.357393	0.896	0.000203527	-554.311	216.328	0.00133112
0.045	-0.0121071	0.0109275	0.000223569	-0.258157	0.0802916	0.00644328	0.0164903	0.783214	0.000166182	-651.913	22.3345	0.0527975	-0.320112	-1.13724	0.000187087	477.983	-170.372	0.041499	-0.229512	0.9344	0.000207707	-583.538	-143.224	0.00718938
0.046	-0.0123656	0.0110087	0.000230013	-0.259084	0.0819329	0.0064432	-0.56422	0.539486	0.000232786	-444.563	-482.274	0.0736633	0.171899	-1.19336	0.000230933	490.504	56.9385	0.0449788	-0.733403	0.625615	0.000217852	-392.938	-454.725	0.0128652
0.047	-0.0126257	0.011091	0.000236456	-0.26108	0.0823677	0.00644328	-0.753766	-0.0678156	0.000296635	90.7736	-661.801	0.047123	0.630963	-1.02993	0.00027466	414.088	264.451	0.0413701	-0.964833	0.0847207	0.000232593	-57.4919	-592.806	0.0160845
0.048	-0.0128877	0.0111728	0.000242899	-0.262875	0.0810368	0.00644348	-0.391052	-0.6043	0.000314778	592.5	-340.435	-0.0127966	0.974051	-0.679458	0.000311497	260.493	427.016	0.0313033	-0.844492	-0.484185	0.000248777	288.09	-511.537	0.015703
0.049	-0.0131508	0.0112526	0.000249343	-0.263014	0.0786286	0.00644365	0.265994	-0.634133	0.000275	631.589	287.942	-0.0606514	1.13043	-0.199889	0.00033534	43.4305	517.893	0.0155418	-0.427648	-0.877744	0.000262888	519.633	-254.941	0.0121047
0.05	-0.013413	0.0113303	0.000255786	-0.261141	0.0769441	0.00644366	0.666716	-0.107765	0.000214269	111.726	688.174	-0.0510492	1.04745	0.32137	0.000341154	-212.632	504.823	-0.00438108	0.132009	-0.96686	0.000272362	568.063	79.8308	0.00670478
0.051	-0.0136729	0.0114073	0.00026223	-0.258647	0.0773953	0.00644351	0.442166	0.51343	0.000192757	-525.69	460.116	0.0121754	0.708612	0.763839	0.000326335	-457.027	356.56	-0.0248986	0.643065	-0.728273	0.000276284	425.986	383.646	0.0012871
0.052	-0.0139308	0.0114857	0.000268674	-0.257568	0.0796339	0.00644336	-0.20753	0.638531	0.000238036	-668.895	-232.624	0.0722975	0.166814	0.987808	0.000293423	-602.207	73.2847	-0.0392441	0.933704	-0.242512	0.000275507	138.277	561.12	-0.00244666
0.053	-0.0141889	0.0115665	0.000275117	-0.258872	0.0816411	0.00644338	-0.625271	0.114865	0.000312686	-83.7923	-725.452	0.0645212	-0.430283	0.890535	0.000252689	-557.805	-265.435	-0.0395571	0.899182	0.328814	0.000272411	-207.275	548.384	-0.00319666
0.054	-0.0144489	0.0116481	0.00028156	-0.261097	0.0811578	0.00644361	-0.297669	-0.482483	0.000337768	682.41	-332.946	-0.0199499	-0.882111	0.487856	0.000219801	-322.508	-514.684	-0.0241361	0.539157	0.78482	0.000270317	-492.85	334.608	-0.000456306
0.055	-0.0147101	0.0117281	0.000288004	-0.260705	0.0788431	0.00644372	0.362984	-0.315388	0.000283627	449.688	646.555	-0.072936	-1.04794	-0.0753314	0.000207231	-8.11642	-581.027	-0.000584489	-0.0262398	0.950128	0.000272458	-602.741	-16.1047	0.00503632
0.056	-0.0149693	0.0118072	0.000294448	-0.257671	0.0802686	0.00644334	0.211378	0.306172	0.000256723	-758.942	298.962	0.0408739	-0.912914	-0.617538	0.000218133	264.368	-482.093	0.0215564	-0.585466	0.750996	0.000280641	-479.375	-369.487	0.0112215
0.057	-0.0152274	0.0118892	0.000300891	-0.260963	0.0819203	0.00644338	-0.50783	0.061433	0.00033359	95.546	-244.847	0.0169251	-0.553239	-1.00671	0.000248078	436.88	-286.354	0.0370447	-0.919448	0.261018	0.000294259	-168.185	-577.849	0.0155313
0.058	-0.0154954	0.0119657	0.000307335	-0.273281	0.0708609	0.00644499	1.80163	1.56071	6.27792e-05	3982.75	3313.98	-0.523819	-0.0759188	-1.17815	0.000289516	500.505	-54.821	0.0445176	-0.901616	-0.326347	0.000310465	200.007	-559.776	0.016256
0.059	-0.0157688	0.0120362	0.00031378	-0.273605	0.0702225	0.00644499	5.77353	4.86549	-0.000459582	3967.71	3301.26	-0.521802	0.414329	-1.11815	0.000334511	464.838	171.149	0.04426	-0.549143	-0.78697	0.000325505	481.079	-335.064	0.0133227
0.06	-0.0160424	0.0121061	0.000320225	-0.273562	0.0694355	0.00644501	9.73967	8.16542	-0.000981174	3965.05	3299.02	-0.521446	0.824604	-0.847506	0.000375656	342.674	362.156	0.0369351	-0.00181872	-0.957168	0.000336287	580.452	2.69141	0.00801575
