#{tijd} #{positie1} #{snelheid1} #{...} 
0.25	-0.065281	0.0271769	0.00154449	-0.260489	0.0818264	0.00644343	-0.976495	-0.333521	0.00157678	208.481	-543.324	0.0193357	-0.983455	-0.330299	0.00156619	205.15	-551.059	0.0222963
0.26	-0.0678763	0.0279688	0.00160892	-0.259446	0.0820068	0.00644341	-1.04285	0.0609447	0.00162241	-26.9641	-585.215	0.0274132	-1.0495	0.0574328	0.00163349	-18.9379	-587.475	0.0230297
0.27	-0.0704722	0.0287607	0.00167336	-0.25841	0.0817558	0.0064434	-0.952717	0.448508	0.00167853	-256.695	-533.73	0.0227045	-0.949316	0.44296	0.00167149	-249.529	-523.272	0.0399964
0.28	-0.0730689	0.029553	0.00173779	-0.257558	0.0811099	0.0064434	-0.714323	0.764962	0.00172383	-438.264	-390.907	0.0370956	-0.710437	0.764208	0.0017298	-453.988	-378.614	0.00774052
0.29	-0.075666	0.0303458	0.00180223	-0.257036	0.0801781	0.00644342	-0.36796	0.96077	0.00177645	-556.808	-172.681	0.0147651	-0.370794	0.96294	0.00177929	-564.639	-194.365	0.0385873
0.3	-0.0782633	0.0311392	0.00186666	-0.25693	0.0791208	0.00644345	0.0226214	1.00396	0.00183105	-583.136	49.7308	0.00839377	0.0250678	1.00846	0.00183699	-583.033	65.1583	0.0298069
0.31	-0.0808605	0.0319334	0.0019311	-0.257248	0.078116	0.00644349	0.398551	0.890149	0.00189412	-508.764	271.282	0.0175722	0.401017	0.892808	0.0018943	-519.672	291.381	-0.0142079
0.32	-0.0834574	0.0327283	0.00199553	-0.257929	0.0773249	0.00644353	0.700833	0.639625	0.00195786	-359.606	456.098	-0.0041978	0.693776	0.637249	0.00196798	-364.48	448.742	0.00362174
0.33	-0.0860538	0.0335235	0.00205997	-0.258854	0.0768657	0.00644356	0.875331	0.292612	0.00203637	-158.064	558.989	-0.00490671	0.871887	0.287099	0.00202824	-150.956	548.891	-0.0164611
0.34	-0.0886495	0.0343189	0.0021244	-0.259877	0.0767995	0.00644358	0.897918	-0.0959971	0.00210693	69.793	569.052	-0.0119138	0.905484	-0.100402	0.00211682	74.4018	572.831	-0.0164754
0.35	-0.0912445	0.0351143	0.00218884	-0.260841	0.077128	0.00644359	0.772174	-0.46655	0.00219215	287.757	495.428	-0.017639	0.778594	-0.463347	0.00218271	280.756	501.244	-0.00990113
0.36	-0.0938388	0.0359093	0.00225327	-0.261605	0.0777981	0.00644358	0.516396	-0.759606	0.00226581	457.31	350.125	-0.00886918	0.514262	-0.751536	0.0022715	450.688	345.488	-0.022517
0.37	-0.0964328	0.0367037	0.00231771	-0.262057	0.0787105	0.00644356	0.164817	-0.926806	0.00234478	548.241	150.368	-0.0196815	0.161806	-0.927369	0.00234301	569.677	137.204	0.0133321
0.38	-0.0990266	0.0374975	0.00238214	-0.262125	0.0797316	0.00644353	-0.227301	-0.946773	0.00241668	566.359	-81.7218	0.00478423	-0.229453	-0.952908	0.00241662	578.974	-78.8531	-0.0142111
0.39	-0.10162	0.0382906	0.00244658	-0.261792	0.0807084	0.00644349	-0.598404	-0.815999	0.00248627	496.998	-292.833	0.0129853	-0.602212	-0.820081	0.00247869	495.863	-307.315	-0.00537687
